"AVAILABILITY_365","CALCULATED_HOST_LISTINGS_COUNT","HOST_ID","HOST_NAME","ID","LAST_REVIEW","LATITUDE","LONGITUDE","MINIMUM_NIGHTS","NAME","NEIGHBOURHOOD","NEIGHBOURHOOD_GROUP","NUMBER_OF_REVIEWS","PRICE","REVIEWS_PER_MONTH","ROOM_TYPE"
"0","1","46854651","Theres","8965514","20/09/2018","52.48629666335394","13.449810497483794","2","Big#Beautiful#Room#Balcony#Neuköln","Rixdorf","Neukölln","9","36","0.24","Private room"
"0","1","12259609","Josua","8970893","31/10/2015","52.47088023444192","13.442934236852901","3","Gemütliche Wohnung in Neukölln","Rixdorf","Neukölln","1","40","0.03","Entire home/apt"
"0","1","21106735","Sebastian","8973039","","52.560428854070665","13.380381337935626","11","Big and light room in Berlin","Osloer Straße","Mitte","0","25","","Private room"
"287","1","3544976","Svenja","8976190","31/03/2018","52.45976806437205","13.434811761487566","20","Schönes Studio mit Balkon, Neukölln","Britz","Neukölln","6","45","0.17","Entire home/apt"
"0","2","19092131","Karolin","8977185","02/11/2015","52.50860651812489","13.453368099390373","1","spacious room in central Berlin","Frankfurter Allee Süd FK","Friedrichshain-Kreuzberg","3","25","0.08","Private room"
"335","1","46911033","Silke","8977531","22/10/2018","52.44875653513786","13.63535434956092","1","Lakeside suite in lovely apartment","Friedrichshagen","Treptow - Köpenick","83","50","2.29","Private room"
"0","1","7920622","Sarah","8979224","02/10/2018","52.51126945621389","13.41772840698232","3","Huge bright room in central Berlin","Alexanderplatz","Mitte","20","50","0.56","Private room"
"344","2","3953573","Oliver","8984553","02/11/2018","52.527090738965434","13.413719372198129","3","YOUR BED RIGHT IN THE CITY-CENTRE","Alexanderplatz","Mitte","29","35","0.79","Private room"
"0","1","35226259","Franziska","8986396","01/07/2017","52.52211078763682","13.434974609075644","5","Gemütliches Zuhause im Herzen Berlins","Karl-Marx-Allee-Nord","Friedrichshain-Kreuzberg","6","50","0.17","Private room"
"0","1","45705123","Nico","8989692","17/12/2015","52.542531652210705","13.354793455870384","1","Cozy flat in berlin mitte/wedding","Wedding Zentrum","Mitte","5","49","0.14","Entire home/apt"
"0","1","46719509","Clarissa","8989702","31/03/2018","52.55169953629488","13.378455366255038","1","schönes Zimmer im Herzen Weddings","Wedding Zentrum","Mitte","9","20","0.24","Private room"
"262","3","2297456","Sandra Und Mauro","8990040","","52.53642383958976","13.394045441669666","61","fullyfurnished Studio nearMauerpark","Brunnenstr. Süd","Mitte","0","30","","Entire home/apt"
"0","1","46825289","Sivan","8990583","","52.48367006605234","13.441234225695778","4","2 rooms apartment in Neukölln","Reuterstraße","Neukölln","0","42","","Private room"
"0","2","46997834","Andrea","8998355","","52.48141515596845","13.446296103672813","14","2 Zi in heller grosser WG","Rixdorf","Neukölln","0","35","","Entire home/apt"
"0","2","47010115","Alex","9001258","23/07/2017","52.50978897429364","13.456944764068313","1","Big room in great location - Shared flat","Frankfurter Allee Süd FK","Friedrichshain-Kreuzberg","6","41","0.21","Private room"
"0","2","8155074","Jessica And Sam","9004635","","52.469390086358985","13.43951938314068","7","Double room to rent Neukolln","Neuköllner Mitte/Zentrum","Neukölln","0","45","","Private room"
"340","1","5954131","Ilhami","9006673","14/10/2018","52.522030665147916","13.402715319595726","3","Nice room in the center of Berlin","Alexanderplatz","Mitte","28","58","0.76","Private room"
"0","1","7192253","Kai","9007904","","52.54211609762582","13.438164726799304","1","Altbauwohnung Prenzlauer Berg","Prenzlauer Berg Nord","Pankow","0","60","","Private room"
"0","1","21240834","Hagen","9018977","","52.49803593020473","13.402519929518864","1","Ruhiges Zimmer in Kreuzberg","Südliche Friedrichstadt","Friedrichshain-Kreuzberg","0","45","","Private room"
"0","1","1474879","Christin","9020990","","52.485581597487545","13.426524627741028","10","spacious 1 Room Neukölln Apartment","Reuterstraße","Neukölln","0","49","","Entire home/apt"
"0","1","3868671","Valerie","9021606","30/10/2017","52.50516348554798","13.362220376116635","6","Central, Sunny. Loft with View","Tiergarten Süd","Mitte","3","44","0.09","Entire home/apt"
"53","2","11763735","Runa","9022813","18/04/2018","52.52026801777279","13.285897954435455","3","Gemütliches Apartment","Schloß Charlottenburg","Charlottenburg-Wilm.","29","35","0.79","Entire home/apt"
"0","1","38921266","Jánez","9026643","12/06/2016","52.4912571866521","13.417688583701121","2","Sunny room w. balcony","Tempelhofer Vorstadt","Friedrichshain-Kreuzberg","5","35","0.14","Private room"
"0","1","47121206","Eileen","9026963","","52.49700032524329","13.293009694034993","1","Ferienwohnung auf'm Kurfürstendamm","Halensee","Charlottenburg-Wilm.","0","60","","Entire home/apt"
"244","6","1280504","Silvia","9027179","29/10/2018","52.51454920194489","13.431932859454701","3","Atelier-großzügig,sehr zentral und verkehrsgünstig","Karl-Marx-Allee-Süd","Friedrichshain-Kreuzberg","154","46","4.21","Entire home/apt"
"322","1","47125192","Manfred","9027633","18/10/2018","52.451467689908625","13.323396712653857","3","Wohlfühlen in Berlin","Albrechtstr.","Steglitz - Zehlendorf","51","65","1.56","Entire home/apt"
"0","1","10752203","Emilia","9029431","24/09/2016","52.52340467226485","13.44833468375978","2","Nice room in the heart of Berlin","Karl-Marx-Allee-Nord","Friedrichshain-Kreuzberg","12","45","0.33","Private room"
"0","1","47107178","Christiana","9035465","","52.53600184961258","13.421005073669177","1","Gemütlicher Altbau zentrale Lage","Prenzlauer Berg Südwest","Pankow","0","40","","Entire home/apt"
"0","1","47183946","Julia","9041447","26/03/2018","52.49988231727925","13.44186788959322","1","Directly at Schlesisches Tor","südliche Luisenstadt","Friedrichshain-Kreuzberg","26","35","0.72","Private room"
"168","1","47196365","Pier","9044730","04/11/2018","52.54646671874821","13.456400651562003","1","Sunny and comfortable Apartment","Weißensee","Pankow","10","45","0.29","Entire home/apt"
"0","1","46649456","Maximilian","9045860","02/11/2015","52.478789805592875","13.424547624966147","2","Nice cozy Room in Schillerkiez","Schillerpromenade","Neukölln","1","24","0.03","Private room"
"0","1","19888788","Ulysse","9047612","11/04/2018","52.484627087079055","13.44722955688468","5","Neukölln - Cosy room near the canal","Rixdorf","Neukölln","2","14","0.06","Private room"
"0","1","447761","Nina","9054118","","52.53694550152212","13.397852729315948","4","Berlin style apartment in Mitte","Brunnenstr. Süd","Mitte","0","55","","Entire home/apt"
