"AVAILABILITY_365","CALCULATED_HOST_LISTINGS_COUNT","HOST_ID","HOST_NAME","ID","LAST_REVIEW","LATITUDE","LONGITUDE","MINIMUM_NIGHTS","NAME","NEIGHBOURHOOD","NEIGHBOURHOOD_GROUP","NUMBER_OF_REVIEWS","PRICE","REVIEWS_PER_MONTH","ROOM_TYPE"
"191","1","95992958","Cristina","15249831","19/08/2018","52.49633386911848","13.385251379758397","5","Big, sunny and cosy apartment in Kreuzberg","Tempelhofer Vorstadt","Friedrichshain-Kreuzberg","5","130","0.33","Private room"
"253","3","7479020","Oksana","15256845","03/11/2018","52.502146366103226","13.345089521183287","2","BERLIN WEST FAMILY PENTHOUSE WITH WHIRLPOOL & VIEW","Schöneberg-Nord","Tempelhof - Schöneberg","13","399","2.57","Entire home/apt"
"191","2","7019264","Anna","15277380","12/08/2018","52.49626786483423","13.422041133363418","2","Beautiful 100m2 apartment by canal (not shared!)","südliche Luisenstadt","Friedrichshain-Kreuzberg","13","130","0.52","Private room"
"361","6","73706066","Marls","15277811","21/10/2018","52.53337478138802","13.34016080466478","90","Berlin Style Design Vintage Apt 4","Moabit West","Mitte","118","115","4.62","Entire home/apt"
"35","1","22919858","Jessica","15283333","03/01/2017","52.48191492240456","13.42809465520336","5","Sunny+Clean Apartment in Neukölln","Neuköllner Mitte/Zentrum","Neukölln","1","70","0.04","Private room"
"50","1","2625820","Carolina","15292834","12/09/2018","52.51463578387067","13.457745175351327","2","open apartment in the middle of Simon Dach Kiez","Frankfurter Allee Süd FK","Friedrichshain-Kreuzberg","7","99","0.31","Private room"
"221","1","36808312","Patrick","15293787","08/10/2018","52.50829556331547","13.451647315855173","3","Modern,cozy place in Friedrichshain","Frankfurter Allee Süd FK","Friedrichshain-Kreuzberg","12","79","0.57","Entire home/apt"
"279","1","28114748","Martin","15307995","03/11/2018","52.49635848650335","13.48751048759403","2","PAVILION FOR TWO+","Rummelsburger Bucht","Lichtenberg","36","75","1.42","Entire home/apt"
"33","1","7313508","Tommy","15320058","30/04/2018","52.55481532323671","13.430859047966695","2","bright and big top floor flat","Weißensee","Pankow","11","95","0.43","Entire home/apt"
"0","1","97721701","Wiebke","15332347","01/08/2017","52.57015363844249","13.404078791433415","1","Sanierte Altbauwohnung mit Balkon","Pankow Zentrum","Pankow","4","69","0.16","Entire home/apt"
"345","1","51677823","Lennart","15334291","","52.50160139134403","13.371662522500479","140","Helle 3 Zi. Wohnung, Parkblick, Potsdamer Platz","Tempelhofer Vorstadt","Friedrichshain-Kreuzberg","0","70","","Entire home/apt"
"333","1","97754492","Oliver & Letizia","15334605","03/11/2018","52.49314452514754","13.345142564060938","2","Roomy and cosy suite for up to 8 people","Schöneberg-Süd","Tempelhof - Schöneberg","66","110","2.65","Private room"
"15","1","10425491","Florian","15337247","","52.5291012077218","13.388916048236808","7","Great place in the center of Berlin but very quite","Brunnenstr. Süd","Mitte","0","98","","Entire home/apt"
"330","2","11087642","Bianka","15342272","29/10/2018","52.484206289017365","13.428695951557305","5","Peaceful oasis in the middle of Neukölln","Reuterstraße","Neukölln","28","68","1.13","Entire home/apt"
"337","15","23904144","Katarina","15355534","04/11/2018","52.51297692420037","13.38217872065337","2","AAA LOCATION IN THE CENTRE H681","Regierungsviertel","Mitte","69","170","2.75","Entire home/apt"
"155","43","8250486","Singer Hostel Berlin","15363472","01/11/2018","52.517614082777015","13.42493201773958","1","Double Room Ensuite / TV  No.3","Alexanderplatz","Mitte","6","69","0.26","Private room"
"0","1","2436675","Alexandra","15367964","03/04/2018","52.52493528176408","13.404415504127194","4","Luxurious apartment at Hackescher Markt","Alexanderplatz","Mitte","12","78","0.81","Entire home/apt"
"168","1","6839923","Friederike","15379792","","52.529700019661924","13.392644158559527","21","Great apartment in Berlin-Mitte","Brunnenstr. Süd","Mitte","0","90","","Entire home/apt"
"364","1","98403267","Diego","15389940","11/10/2018","52.482452728362304","13.438160204202083","1","Big and sunny room in Neukölln","Reuterstraße","Neukölln","3","80","0.17","Private room"
"0","1","1706643","Elly","15402781","16/05/2018","52.48234452018493","13.427660028393769","3","Comfy and pretty place in trendy Neukölln","Neuköllner Mitte/Zentrum","Neukölln","4","70","0.16","Entire home/apt"
"0","1","3683625","Antonia","15415032","29/09/2018","52.47553712466743","13.42198657990919","3","Modern Design Apartment in Schillerkiez Neukölln","Schillerpromenade","Neukölln","14","130","0.62","Entire home/apt"
"179","1","3248643","Tobias","15416187","24/07/2017","52.54124020077274","13.422743666792737","14","Beautiful Modern Apartment In The BEST Location!!!","Helmholtzplatz","Pankow","3","97","0.12","Entire home/apt"
"362","1","54225912","Nadja","15416882","19/03/2017","52.534333802440145","13.42712144496002","90","Luxury flat in fully restored ""Altbau"" with bacony","Prenzlauer Berg Süd","Pankow","1","89","0.05","Entire home/apt"
"81","1","7384737","Philipp","15428279","12/07/2018","52.53645134510419","13.413872445102939","6","Luxury 160m2 flat: best location Prenzlauer Berg","Prenzlauer Berg Südwest","Pankow","7","189","0.31","Entire home/apt"
"88","1","36656051","Dorina","15430351","26/10/2018","52.44319881125063","13.230684195964269","4","Naturidylle im Villenviertel am See","Zehlendorf  Nord","Steglitz - Zehlendorf","14","101","0.57","Entire home/apt"
"87","1","99033582","Ludger","15441899","","52.52676509355737","13.394145927077838","14","Beautiful 200 m² Penthouse in Berlin-Mitte","Alexanderplatz","Mitte","0","100","","Private room"
"61","1","24104664","Theresa","15459808","20/06/2017","52.52987538175611","13.378752414890243","2","Beautiful Apartment with Berlin flair in Mitte","Alexanderplatz","Mitte","5","110","0.2","Entire home/apt"
"125","1","19843302","Martin","15469122","29/07/2018","52.5307487540533","13.327178059365522","1","MODERN APPARTEMENT CLOSE TO ICC, TXL AIRPORT & HBF","Moabit West","Mitte","24","100","0.95","Private room"
"297","2","10690131","Oliver","15472852","12/10/2018","52.528004886428405","13.349258916597902","3","Gekommen um zu bleiben!","Moabit Ost","Mitte","25","200","1.12","Entire home/apt"
"249","1","10276506","Dina","15474240","17/08/2018","52.49666451345773","13.434774099125422","2","massive room in the heart of trendy kruezkölln","südliche Luisenstadt","Friedrichshain-Kreuzberg","8","70","0.32","Private room"
"365","6","26670019","Dagmar","15477104","23/09/2018","52.473236871325675","13.315064889231511","3","Romantik mit Parkblick am Rüdesheimer Platz","Wiesbadener Straße","Charlottenburg-Wilm.","7","69","0.33","Private room"
"311","1","77214209","Ali","15491436","30/12/2017","52.45465348050952","13.35375536020544","1","Apartment in Villa, 75 m2","Albrechtstr.","Steglitz - Zehlendorf","7","92","0.28","Entire home/apt"
"365","4","99328158","Mandy","15496312","30/09/2018","52.553603842191585","13.43606292641333","1","City Oase III","Weißensee","Pankow","8","75","2.03","Private room"
"359","4","99328158","Mandy","15496720","19/10/2018","52.55305408206585","13.436740178163317","1","City Oase IV","Weißensee","Pankow","5","100","0.22","Private room"
"364","4","99328158","Mandy","15496879","18/09/2018","52.554144008060426","13.437863217456384","1","City Oase VI","Weißensee","Pankow","4","250","0.18","Private room"
"89","1","88151579","Philip","15505416","24/04/2017","52.550669942959345","13.380035894373062","3","Beautiful room in Wedding on the U8","Brunnenstr. Nord","Mitte","1","100","0.04","Private room"
"35","1","33556204","Alex","15507622","03/12/2017","52.48967513925624","13.443999466252484","2","Charming 2 Room Apartment","Alt  Treptow","Treptow - Köpenick","4","80","0.18","Entire home/apt"
"0","1","99514456","Tatjana","15514414","07/01/2018","52.502803183853516","13.389950746176865","1","Beautifull, cosy, central!","Südliche Friedrichstadt","Friedrichshain-Kreuzberg","13","70","0.6","Entire home/apt"
"178","1","90423510","Shahar","15525841","25/10/2018","52.536256055878745","13.377494032314718","4","Modern & New studio apartment- Berlin  city center","Brunnenstr. Süd","Mitte","12","100","0.53","Entire home/apt"
"338","15","4032095","Heinz","15528379","27/10/2018","52.5147824286783","13.383043084165768","2","BIG APARTMENT FOR 6 - BEST LOCATION 8863","Regierungsviertel","Mitte","84","209","3.44","Entire home/apt"
"89","2","56181616","Caroline","15534114","18/10/2018","52.533218745444174","13.39692059803817","2","Beautiful guest room in our sunny flat in Mitte","Brunnenstr. Süd","Mitte","4","70","0.23","Private room"
"175","1","54615245","Lika","15547669","25/09/2018","52.47482874733723","13.427070101727905","2","Berlin/full flat or big doubleroom with balcony","Schillerpromenade","Neukölln","2","120","0.08","Entire home/apt"
"0","1","13747641","Stephan","15555145","18/10/2016","52.53981231824262","13.425758518840661","7","Maisonette Wohnung mit Dachterrasse (60qm)","Prenzlauer Berg Süd","Pankow","1","100","0.04","Entire home/apt"
"0","1","7541984","Philipp","15555152","11/09/2017","52.47265498753705","13.450845641122315","3","Luxury Loft Apartment, spacious & newly renovated","Rixdorf","Neukölln","3","95","0.13","Entire home/apt"
"0","1","13798214","Niclas","15556033","","52.50431678586764","13.467623860598437","2","Spacious Flat in Friedrichshain, superb location","Frankfurter Allee Süd FK","Friedrichshain-Kreuzberg","0","90","","Private room"
"283","8","58319276","BA Bardot Apartments","15557263","27/10/2018","52.553264410603994","13.409628312331524","1","Adorable flat in Prenzlauer Berg(100 qm)","Prenzlauer Berg Nordwest","Pankow","69","75","2.94","Entire home/apt"
"107","1","11359492","Andrea","15559518","","52.488613945565994","13.384689049062532","60","Eine grüne Oase mitten in Kreuzberg","Tempelhofer Vorstadt","Friedrichshain-Kreuzberg","0","70","","Entire home/apt"
"52","2","55123287","Sarah","15582246","22/08/2018","52.513668735336005","13.467010891529908","1","Cozy & lovely 35m² apartment in Friedrichshain","Frankfurter Allee Süd FK","Friedrichshain-Kreuzberg","11","70","0.45","Entire home/apt"
